"","loja","pk_pedido","pk_pedido_item","produto","fk_categoria_unificado","fk_usuario","fk_perfil_usuario","desc_perfil_usuario","dta_inc_pedido","fk_produto_unificado","qtd_itens","total","desc_cidade","desc_estado","uf_estado"
"17","Atual Card",8936263,13768966,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,240639,6,"Cliente","2021-04-14",435713,5,4.4,"BELEM","Pará","PA"
"18","Atual Card",8972932,13824853,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,327598,6,"Cliente","2021-04-22",435719,20,15.4,"PORTO BELO","Santa Catarina","SC"
"19","Atual Card",8973307,13825345,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,455884,6,"Cliente","2021-04-22",435716,14,10.92,"COLOMBO","Paraná","PR"
"20","Atual Card",8997922,13862866,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,482479,6,"Cliente","2021-04-27",435713,5,4.4,"ARACATUBA","São Paulo","SP"
"21","Atual Card",9007123,13876756,"Fotos Couchê 250g Verniz Total Frente 15x21cm | 15x21 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29099,387679,19,"Encarregado Baixa 2","2021-04-28",435695,6,10.56,"SAO JOSE DOS PINHAIS","Paraná","PR"
"22","Atual Card",9007414,13877194,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,484879,6,"Cliente","2021-04-28",435728,169,92.95,"NOVA IGUACU","Rio de Janeiro","RJ"
"23","Atual Card",9019408,13895458,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,174361,25,"Agente Oficial","2021-04-30",435716,10,8.2,"SAO PAULO","São Paulo","SP"
"24","Atual Card",9033361,13916194,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,438052,6,"Cliente","2021-05-03",435719,24,18.48,"BARRA VELHA","Santa Catarina","SC"
"25","Atual Card",9040069,13926520,"Fotos Couchê 250g Verniz Total Frente 15x21cm | 15x21 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29099,200929,19,"Encarregado Baixa 2","2021-05-04",435695,8,14.08,"SAO JOSE DOS PINHAIS","Paraná","PR"
"26","Atual Card",9045592,13935190,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,219419,6,"Cliente","2021-05-05",435719,18,13.86,"CURITIBA","Paraná","PR"
"27","Atual Card",9050860,13943029,"Fotos Couchê 250g Verniz Total Frente 15x21cm | 15x21 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29099,487555,6,"Cliente","2021-05-05",435695,5,8.8,"CAMPINAS","São Paulo","SP"
"28","Atual Card",9054130,13947781,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,258933,50,"Revendedor Autorizado","2021-05-06",435725,100,66,"JUNDIAI","São Paulo","SP"
"29","Atual Card",9055216,13949356,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,76840,25,"Agente Oficial","2021-05-06",435719,23,17.71,"LONDRINA","Paraná","PR"
"30","Atual Card",9082621,13991455,"Fotos Couchê 250g Verniz Total Frente 15x21cm | 15x21 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29099,238071,50,"Revendedor Autorizado","2021-05-12",435695,5,8.8,"SAO PAULO","São Paulo","SP"
"31","Atual Card",9082891,13991851,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,20937,6,"Cliente","2021-05-12",435719,20,15.4,"PORTO ALEGRE","Rio Grande do Sul","RS"
"32","Atual Card",9088087,13999381,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,143252,50,"Revendedor Autorizado","2021-05-12",435722,35,24.85,"BAURU","São Paulo","SP"
"33","Atual Card",9089107,14000998,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,367414,6,"Cliente","2021-05-12",435713,6,5.28,"SOROCABA","São Paulo","SP"
"34","Atual Card",9093520,14007763,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,413293,6,"Cliente","2021-05-13",435728,199,103.48,"CAXIAS DO SUL","Rio Grande do Sul","RS"
"35","Atual Card",9093520,14007766,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,413293,6,"Cliente","2021-05-13",435725,100,63,"CAXIAS DO SUL","Rio Grande do Sul","RS"
"36","Atual Card",9093559,14007826,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,482479,6,"Cliente","2021-05-13",435722,46,32.66,"ARACATUBA","São Paulo","SP"
"37","Atual Card",9112273,14036488,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,374725,6,"Cliente","2021-05-17",435719,23,16.79,"CIANORTE","Paraná","PR"
"38","Atual Card",9118462,14045893,"Fotos Couchê 250g Verniz Total Frente 15x21cm | 15x21 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29099,125284,6,"Cliente","2021-05-18",435698,11,18.15,"CAMPOS DOS GOYTACAZES","Rio de Janeiro","RJ"
"39","Atual Card",9120370,14048578,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,174361,25,"Agente Oficial","2021-05-18",435713,5,4.4,"SAO PAULO","São Paulo","SP"
"40","Atual Card",9121657,14050483,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,143252,50,"Revendedor Autorizado","2021-05-18",435722,56,39.76,"BAURU","São Paulo","SP"
"41","Atual Card",9130213,14063374,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,463528,50,"Revendedor Autorizado","2021-05-19",435722,30,12.9,"CAMPINAS","São Paulo","SP"
"42","Atual Card",9130213,14063377,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,463528,50,"Revendedor Autorizado","2021-05-19",435722,30,12.9,"CAMPINAS","São Paulo","SP"
"43","Atual Card",9130213,14063380,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,463528,50,"Revendedor Autorizado","2021-05-19",435722,33,14.19,"CAMPINAS","São Paulo","SP"
"44","Atual Card",9161506,14111158,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,174361,25,"Agente Oficial","2021-05-25",435716,14,11.48,"SAO PAULO","São Paulo","SP"
"45","Atual Card",9168856,14122558,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,196731,19,"Encarregado Baixa 2","2021-05-26",435722,30,21.3,"SAO JOSE DOS PINHAIS","Paraná","PR"
"46","Atual Card",9178822,14137483,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,143252,50,"Revendedor Autorizado","2021-05-27",435716,11,9.02,"BAURU","São Paulo","SP"
"47","Atual Card",9187750,14151499,"Fotos Couchê 250g Verniz Total Frente 15x21cm | 15x21 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29099,79690,6,"Cliente","2021-05-28",435704,60,81.6,"ANANINDEUA","Pará","PA"
"48","Atual Card",9189331,14154184,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,13735,50,"Revendedor Autorizado","2021-05-29",435719,21,10.5,"GUARULHOS","São Paulo","SP"
"49","Atual Card",9206359,14179228,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,291886,6,"Cliente","2021-06-01",435713,5,4.4,"ITU","São Paulo","SP"
"50","Atual Card",9223549,14205772,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,493408,6,"Cliente","2021-06-05",435716,10,8.2,"São João de Meriti","Rio de Janeiro","RJ"
"51","Atual Card",9223549,14205775,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,493408,6,"Cliente","2021-06-05",435716,10,8.2,"São João de Meriti","Rio de Janeiro","RJ"
"52","Atual Card",9223636,14205910,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,239059,25,"Agente Oficial","2021-06-05",435719,15,10.35,"FAZENDA RIO GRANDE","Paraná","PR"
"53","Atual Card",9223684,14205970,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,174361,25,"Agente Oficial","2021-06-05",435713,5,4.4,"SAO PAULO","São Paulo","SP"
"54","Atual Card",9236620,14224255,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,463528,50,"Revendedor Autorizado","2021-06-08",435713,6,5.28,"CAMPINAS","São Paulo","SP"
"55","Atual Card",9240631,14229592,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,239059,25,"Agente Oficial","2021-06-08",435716,10,7.4,"FAZENDA RIO GRANDE","Paraná","PR"
"56","Atual Card",9244666,14235226,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,174361,25,"Agente Oficial","2021-06-09",435713,5,4.4,"SAO PAULO","São Paulo","SP"
"57","Atual Card",9289948,14302873,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,233859,6,"Cliente","2021-06-16",435713,5,4.4,"PINHAIS","Paraná","PR"
"58","Atual Card",9298498,14315500,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,372055,50,"Revendedor Autorizado","2021-06-17",435719,23,17.71,"SAO PAULO","São Paulo","SP"
"59","Atual Card",9306583,14327698,"Fotos Couchê 250g Verniz Total Frente 15x21cm | 15x21 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29099,437977,6,"Cliente","2021-06-18",435695,5,8.8,"SAO JOSE DOS PINHAIS","Paraná","PR"
"60","Atual Card",9306592,14327737,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,437977,6,"Cliente","2021-06-18",435713,5,4.4,"SAO JOSE DOS PINHAIS","Paraná","PR"
"61","Atual Card",9319690,14347183,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,141324,9,"Manutenção de Conteúdos","2021-06-22",435713,5,4.4,"SAO JOSE DOS PINHAIS","Paraná","PR"
"62","Atual Card",9324892,14354773,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,143252,50,"Revendedor Autorizado","2021-06-22",435722,40,28.4,"BAURU","São Paulo","SP"
"63","Atual Card",9336967,14372896,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,339454,6,"Cliente","2021-06-24",435716,10,8.2,"DIADEMA","São Paulo","SP"
"64","Atual Card",9361030,14408479,"Fotos Couchê 250g Verniz Total Frente 15x21cm | 15x21 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29099,435553,6,"Cliente","2021-06-29",435701,15,21.9,"SANTO AMARO DA IMPERATRIZ","Santa Catarina","SC"
"65","Atual Card",9364675,14414173,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,443317,6,"Cliente","2021-06-29",435713,5,4.4,"MARINGA","Paraná","PR"
"66","Atual Card",9372829,14426680,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,372676,6,"Cliente","2021-06-30",435722,60,42.6,"BARAUNA","Rio Grande do Norte","RN"
"67","Atual Card",9376729,14432404,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,3176,6,"Cliente","2021-07-01",435716,12,9.84,"RIO DE JANEIRO","Rio de Janeiro","RJ"
"68","Atual Card",9383152,14441974,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,236798,6,"Cliente","2021-07-02",435716,12,9.84,"SAO PAULO","São Paulo","SP"
"69","Atual Card",9384058,14443474,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,201636,6,"Cliente","2021-07-02",435719,17,13.09,"SAO VICENTE","São Paulo","SP"
"70","Atual Card",9388315,14450449,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,362143,6,"Cliente","2021-07-04",435713,5,4.4,"BALNEARIO PICARRAS","Santa Catarina","SC"
"71","Atual Card",9392782,14457280,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,405994,6,"Cliente","2021-07-05",435722,69,48.99,"PARANAÍBA","Mato Grosso do Sul","MS"
"72","Atual Card",9411262,14485081,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,470053,50,"Revendedor Autorizado","2021-07-07",435722,40,28.4,"SALVADOR","Bahia","BA"
"73","Atual Card",9413158,14488252,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,5577,50,"Revendedor Autorizado","2021-07-07",435713,5,4.4,"CURITIBA","Paraná","PR"
"74","Atual Card",9435343,14521606,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,490237,6,"Cliente","2021-07-12",435719,15,10.95,"PARNAMIRIM","Rio Grande do Norte","RN"
"75","Atual Card",9465907,14567692,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,229057,6,"Cliente","2021-07-16",435713,9,7.92,"FRAIBURGO","Santa Catarina","SC"
"76","Atual Card",9468805,14572279,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,143252,50,"Revendedor Autorizado","2021-07-16",435722,56,39.76,"BAURU","São Paulo","SP"
"77","Atual Card",9494896,14611480,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,339454,6,"Cliente","2021-07-21",435722,53,37.63,"DIADEMA","São Paulo","SP"
"78","Atual Card",9513037,14639272,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,339454,6,"Cliente","2021-07-24",435722,32,22.72,"DIADEMA","São Paulo","SP"
"79","Atual Card",9519685,14648851,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,391585,50,"Revendedor Autorizado","2021-07-26",435719,21,16.17,"CURITIBA","Paraná","PR"
"80","Atual Card",9521773,14652274,"Fotos Couchê 250g Verniz Total Frente 15x21cm | 15x21 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29099,437977,6,"Cliente","2021-07-26",435698,13,20.41,"SAO JOSE DOS PINHAIS","Paraná","PR"
"81","Atual Card",9524884,14656987,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,243481,50,"Revendedor Autorizado","2021-07-27",435722,50,35.5,"JOINVILLE","Santa Catarina","SC"
"82","Atual Card",9535201,14672674,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,333871,6,"Cliente","2021-07-28",435722,49,34.79,"SAO JOSE DOS PINHAIS","Paraná","PR"
"83","Atual Card",9545599,14688187,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,105228,6,"Cliente","2021-07-29",435722,50,35.5,"PICOS","Piauí","PI"
"84","Atual Card",9545599,14688190,"Fotos Couchê 250g Verniz Total Frente 15x21cm | 15x21 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29099,105228,6,"Cliente","2021-07-29",435704,80,114.4,"PICOS","Piauí","PI"
"85","Atual Card",9553651,14700850,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,485773,6,"Cliente","2021-07-31",435716,12,9.84,"ITAPEVI","São Paulo","SP"
"86","Atual Card",9556459,14705227,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,437977,6,"Cliente","2021-08-02",435719,20,15.4,"SAO JOSE DOS PINHAIS","Paraná","PR"
"87","Atual Card",9558574,14708488,"Fotos Couchê 250g Verniz Total Frente 15x21cm | 15x21 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29099,372715,6,"Cliente","2021-08-02",435698,14,23.1,"REALEZA","Paraná","PR"
"88","Atual Card",9562081,14713918,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,437977,6,"Cliente","2021-08-02",435722,39,27.69,"SAO JOSE DOS PINHAIS","Paraná","PR"
"89","Atual Card",9569860,14725312,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,437977,6,"Cliente","2021-08-03",435722,35,24.85,"SAO JOSE DOS PINHAIS","Paraná","PR"
"90","Atual Card",9578053,14737975,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,362143,6,"Cliente","2021-08-04",435719,20,15.4,"BALNEARIO PICARRAS","Santa Catarina","SC"
"91","Atual Card",9580897,14742217,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,406432,6,"Cliente","2021-08-05",435722,50,35.5,"MARITUBA","Pará","PA"
"92","Atual Card",9581248,14742703,"Fotos Couchê 250g Verniz Total Frente 15x21cm | 15x21 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29099,406432,6,"Cliente","2021-08-05",435701,15,23.1,"MARITUBA","Pará","PA"
"93","Atual Card",9585592,14749306,"Fotos Couchê 250g Verniz Total Frente 15x21cm | 15x21 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29099,200929,19,"Encarregado Baixa 2","2021-08-05",435695,5,8.8,"SAO JOSE DOS PINHAIS","Paraná","PR"
"94","Atual Card",9591478,14758285,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,193895,6,"Cliente","2021-08-06",435716,10,7.8,"CRICIUMA","Santa Catarina","SC"
"95","Atual Card",9592648,14760178,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,381781,50,"Revendedor Autorizado","2021-08-06",435713,6,5.28,"OSASCO","São Paulo","SP"
"96","Atual Card",9594949,14764288,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,239059,25,"Agente Oficial","2021-08-08",435719,15,10.35,"FAZENDA RIO GRANDE","Paraná","PR"
"97","Atual Card",9596671,14766895,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,381781,50,"Revendedor Autorizado","2021-08-09",435722,30,21.3,"OSASCO","São Paulo","SP"
"98","Atual Card",9597268,14767852,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,405865,6,"Cliente","2021-08-09",435725,100,66,"FLORIANOPOLIS","Santa Catarina","SC"
"99","Atual Card",9606934,14782081,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,43782,6,"Cliente","2021-08-10",435719,22,16.94,"RIO DE JANEIRO","Rio de Janeiro","RJ"
"100","Atual Card",9606934,14782084,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,43782,6,"Cliente","2021-08-10",435719,22,16.94,"RIO DE JANEIRO","Rio de Janeiro","RJ"
"101","Atual Card",9606934,14782087,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,43782,6,"Cliente","2021-08-10",435719,22,16.94,"RIO DE JANEIRO","Rio de Janeiro","RJ"
